figure_label,segment_label,direction,selected_candidate,selected_source,plotted_method,time,segment_time_s,truth_s_m,pred_s_m,error_m
1_seg01,BMAW15230010L_1_seg01,backward,TotalHP_vmax1_uniform,total,TotalHP_vmax1_uniform,2026-05-13 11:20:36,0.0,574.6303432318657,559.5,-15.130343231865709
1_seg01,BMAW15230010L_1_seg01,backward,TotalHP_vmax1_uniform,total,TotalHP_vmax1_uniform,2026-05-13 11:20:40,4.0,574.6303432318657,559.5,-15.130343231865709
1_seg01,BMAW15230010L_1_seg01,backward,TotalHP_vmax1_uniform,total,TotalHP_vmax1_uniform,2026-05-13 11:20:48,12.0,574.6303432318657,559.5,-15.130343231865709
1_seg01,BMAW15230010L_1_seg01,backward,TotalHP_vmax1_uniform,total,TotalHP_vmax1_uniform,2026-05-13 11:20:52,16.0,574.6303432318657,559.5,-15.130343231865709
1_seg01,BMAW15230010L_1_seg01,backward,TotalHP_vmax1_uniform,total,TotalHP_vmax1_uniform,2026-05-13 11:20:56,20.0,574.6303432318657,559.5,-15.130343231865709
1_seg01,BMAW15230010L_1_seg01,backward,TotalHP_vmax1_uniform,total,TotalHP_vmax1_uniform,2026-05-13 11:21:00,24.0,574.6303432318657,559.5,-15.130343231865709
1_seg01,BMAW15230010L_1_seg01,backward,TotalHP_vmax1_uniform,total,TotalHP_vmax1_uniform,2026-05-13 11:21:08,32.0,574.6303432318657,559.5,-15.130343231865709
1_seg01,BMAW15230010L_1_seg01,backward,TotalHP_vmax1_uniform,total,TotalHP_vmax1_uniform,2026-05-13 11:21:12,36.0,574.6303432318657,559.5,-15.130343231865709
1_seg01,BMAW15230010L_1_seg01,backward,TotalHP_vmax1_uniform,total,TotalHP_vmax1_uniform,2026-05-13 11:21:16,40.0,574.6303432318657,559.5,-15.130343231865709
1_seg01,BMAW15230010L_1_seg01,backward,TotalHP_vmax1_uniform,total,TotalHP_vmax1_uniform,2026-05-13 11:21:24,48.0,574.6303432318657,559.5,-15.130343231865709
